,job title,company,region,location,additional info,skills required,is remote?,is fresher?
0,Data analyst,BP Energy,Pune,"Pune, Maharashtra","ESSENTIAL EDUCATION:• Undergraduate degree or equivalent experience• Understanding of the learning life cycle modelESSENTIAL EXPERIENCE AND JOB REQUIREMENTS:• 3…
Posted
Today",,No,No
1,Data analyst,Arcadis,Bengaluru,"Bengaluru, Karnataka","Experience of data architecture and big data / databases.
Troubleshoot issues in reports related to data and investigate data issues in source systems.
Posted
Posted 26 days ago",Big Data,No,No
2,Data analyst,Scan Holdings Pvt. Limited,Delhi,"Delhi, Delhi","To provide quantitative analysis of trading data.
The candidate will be required to work in a fast-paced, multi-tasking environment, analyzing large amount of…
Posted
Posted 8 days ago",,No,NA
3,Data analyst,BOEING,Bengaluru,"Bengaluru, Karnataka","Should have good data analysis skill.
In this role you will develop, perform analysis and research of processes, applications, systems and data to identify…
Posted
Posted 30+ days ago",,No,NA
4,Data analyst,Boston Consulting Group,New Delhi,"New Delhi, Delhi","Able to quickly learn and use specialized survey data analysis tools such as SPSS, Sawtooth, etc. to deliver practical data analytics outcomes.
Posted
Posted 14 days ago",,No,NA
5,Data analyst,Colgate-Palmolive,Mumbai,"Mumbai, Maharashtra","Knowledge of data management fundamentals and data storage principles.
At least 2-3 years of experience with cloud data warehousing/Big data environments like…
Posted
Posted 20 days ago",Big Data,No,No
6,Data analyst,IntouchCX,Hyderabad,"Hyderabad, Telangana","Proven working experience as a data analyst or business data analyst.
Acquire data from primary or secondary data sources and maintain databases/data systems.
Employer
Active 27 days ago",,No,No
7,Data analyst,Deloitte,Hyderabad,"Hyderabad, Telangana","Mine data from primary and secondary sources, then reorganizing said data in a format that can be easily read by either human or machine.
Posted
Posted 11 days ago",,No,NA
8,Data analyst,Reupgrades,Remote,Remote in Remote,"You can choose your working hours to suit your schedule, with mornings being the preferred time.
Job Types: Part-time, Full-time.
Posted
Just posted·More...",,Yes,NA
9,Data analyst,Deloitte,Hyderabad,"Hyderabad, Telangana","Adept in conducting preliminary research to ascertain data availability, and estimate time/effort.
The role works closely with the Lead Client Service Partner,…
Posted
Posted 18 days ago",,No,NA
10,Data analyst,Kudos India,India,India,"Oversee development of data definitions, helping to analyze data sets for data anomalies and/ or to verify data quality and content, and producing data quality…
Posted
Posted 30+ days ago·More...",,No,NA
11,Data analyst,LARVOL,Remote,Remote,"Systematically categorize clinical trials data into various sections and as per client requirement.
Strong analytical and critical thinking skills to interpret…
Posted
Posted 1 day ago·More...",,Yes,NA
12,Data analyst,Cargill,Bengaluru,"Bengaluru, Karnataka","Proficiency in handling and analyzing geospatial and time series data.
The agriculture supply chain applied scientist will develop computational tools,…
Posted
Posted 11 days ago·More...",,No,NA
13,Data analyst,Siemens,Bengaluru,"Bengaluru, Karnataka","Contribute to data governance efforts, including documentation and adherence to data policies.
Cross-functional Collaboration: Collaborate with data engineers,…
Posted
Posted 19 days ago·More...",,No,NA
14,Data analyst,JPMorgan Chase & Co,Bengaluru,"Bengaluru, Karnataka","The team encompasses a variety of disciplines from data governance and strategy to reporting, data science and machine learning.
Posted
Posted 7 days ago·More...",Machine Learning,No,NA
15,Data analyst,EY,Kolkata,"Kolkata, West Bengal
+4 locations","Excellent data analysis and manipulation skills (Microsoft Excel, Power Query or Alteryx).
You will support companies in analyzing costs associated with the…
Posted
Posted 5 days ago·More...",Excel,No,NA
16,Data analyst,Myntra.com,Bengaluru,"Bengaluru, Karnataka","Assisting the team in data analysis and mining.
Statistical and Analytical Models and methods for data analysis related to customer initiatives & growth hacks…
Posted
Today·More...",Stat,No,NA
17,Data analyst,"Ryan, LLC",Remote in Hyderabad,"Remote in Hyderabad, Telangana","Collaborate with data acquisition experts to ensure a smooth transition from data acquisition to data processing.
Experience with Microsoft software suites.
Posted
Posted 1 day ago·More...",,Yes,No
18,Data analyst,UnitedHealthcare,Hyderabad,"Hyderabad, Telangana","1+ years of building data pipelines using Azure Data Factory.
Build queries using SQL to extract data from Oracle and Snowflake.
Posted
Today·More...", Sql ,No,NA
19,Data analyst,Larsen & Toubro Limited,Chennai,"Chennai, Tamil Nadu","Understanding data and metadata standards.
A Data Analyst is a professional who collects and analyzes data across the business to make.
Posted
Posted 30+ days ago·More...",,No,NA
20,Data analyst,BNP Paribas,India,India,"Write simple and medium complex SQL queries to extract data from database for data analysis.
Able to analyze huge data and identify any functional gaps (based…
Posted
Posted 1 day ago·More...", Sql ,No,NA
21,Data analyst,JPMorgan Chase & Co,Bengaluru,"Bengaluru, Karnataka","Create data models using best practices to ensure high data quality and reduced redundancy.
The team encompasses a variety of disciplines from data governance…
Posted
Posted 13 days ago·More...",,No,NA
