,job title,company,region,skills required,is remote?,is fresher?
0,Data analyst,BP Energy,Pune,,No,No
1,Data analyst,Arcadis,Bengaluru,"Big Data, Database",No,No
2,Data analyst,Scan Holdings Pvt. Limited,Delhi,,No,NA
3,Data analyst,BOEING,Bengaluru,,No,NA
4,Data analyst,Boston Consulting Group,New Delhi,,No,NA
5,Data analyst,Colgate-Palmolive,Mumbai,"Big Data, Cloud",No,Yes
6,Data analyst,IntouchCX,Hyderabad,Database,No,No
7,Data analyst,Deloitte,Hyderabad,,No,NA
8,Data analyst,Reupgrades,Remote,,Yes,NA
9,Data analyst,Deloitte,Hyderabad,,No,NA
10,Data analyst,Kudos India,India,,No,NA
11,Data analyst,LARVOL,Remote,,Yes,Yes
12,Data analyst,Cargill,Bengaluru,,No,NA
13,Data analyst,Siemens,Bengaluru,,No,NA
14,Data analyst,JPMorgan Chase & Co,Bengaluru,Machine Learning,No,NA
15,Data analyst,EY,Kolkata,Excel,No,NA
16,Data analyst,Myntra.com,Bengaluru,Stat,No,NA
17,Data analyst,"Ryan, LLC",Remote in Hyderabad,,Yes,No
18,Data analyst,UnitedHealthcare,Hyderabad, Sql ,No,Yes
19,Data analyst,Larsen & Toubro Limited,Chennai,,No,NA
20,Data analyst,BNP Paribas,India," Sql , Database",No,NA
21,Data analyst,JPMorgan Chase & Co,Bengaluru,,No,NA
22,Data analyst,Bosch Group,Bengaluru,Database,No,No
23,Data analyst,JPMorgan Chase & Co,Mumbai,,No,Yes
24,Data analyst,JPMorgan Chase & Co,Bengaluru,,No,Yes
25,Data analyst,JPMorgan Chase & Co,Bengaluru,Stat,No,NA
26,Data analyst,Arise Virtual Solutions Inc.,Remote,Dashboard,Yes,NA
27,Data analyst,JPMorgan Chase & Co,Bengaluru,Machine Learning,No,NA
28,Data analyst,Molex,Bengaluru,,No,NA
29,Data analyst,Larsen & Toubro Limited,Kolkata,Etl,No,No
30,Data analyst,Mercedes-Benz Research and Development India...,Bengaluru,Python,No,NA
31,Data analyst,Statsman Services Pvt. Ltd.,Kolkata,,No,NA
