,job title,company,region,skills required,is remote?,is fresher?
0,Data scientist,London Stock Exchange Group,Hyderabad,,No,NA
1,Data scientist,Indeed,Remote,"Data Structure, Machine Learning",Yes,Yes
2,Data scientist,Indeed,Remote,"Data Structure, Machine Learning",Yes,NA
3,Data scientist,Khan's Tutorial,Pune,Python,No,NA
4,Data scientist,Onsite Academy Pvt Ltd,Guwahati,"Python, Machine Learning",No,NA
5,Data scientist,Deloitte,Bengaluru,,No,NA
6,Data scientist,Boston Consulting Group,New Delhi,,No,NA
7,Data scientist,Pinkerton,Bengaluru,Stat,No,Yes
8,Data scientist,Agoda,Delhi,,No,NA
9,Data scientist,Publicis Sapient,Bengaluru,,No,NA
10,Data scientist,Amex,Gurgaon,"Python, Big Data",No,No
11,Data scientist,Deloitte,Bengaluru,,No,NA
12,Data scientist,AutoFlipz,Remote,"Python, Preprocessing",Yes,No
13,Data scientist,Brave AI Lab,India,Python,No,NA
14,Data scientist,Cargill,Bengaluru,,No,NA
15,Data scientist,Kenvue,Bengaluru,AI,No,NA
16,Data scientist,AISPL - Tamil Nadu,Bengaluru,"Python,  R , Big Data",No,NA
17,Data scientist,Deloitte,Hyderabad,,No,NA
18,Data scientist,MiQ Digital,Hybrid remote in Bengaluru,"Data Mining,  Sql , Big Data",Yes,No
19,Data scientist,myOnsite Healthcare LLC,Vadodara,,No,Yes
20,Data scientist,Deloitte,Bengaluru,"Python, Deep Learning, Stat",No,No
21,Data scientist,TransUnion,Pune,,No,NA
22,Data scientist,IBM,Bengaluru,,No,NA
23,Data scientist,Getinz,Bengaluru,Deployment,No,NA
24,Data scientist,Deloitte,Hyderabad,"Machine Learning, Big Data, Stat",No,NA
25,Data scientist,"Ryan, LLC",Remote in Hyderabad,,Yes,No
26,Data scientist,Macropace Technologies,Bengaluru,"Machine Learning, Data Mining, Stat",No,No
27,Data scientist,Barclays,Chennai,,No,NA
28,Data scientist,Tookitaki,Bengaluru,Machine Learning,No,No
29,Data scientist,Deutsche Bank,Pune,Data Mining,No,NA
30,Data scientist,BigShyft,Noida,Preprocessing,No,NA
31,Data scientist,CODEC Networks,Delhi,,No,Yes
32,Data scientist,Deloitte,Bengaluru,,No,Yes
